Country,Year,Avg_Temperature_C,Rainfall_mm,Crop,Yield_tons_per_ha,Fertilizer_Use_kg_per_ha,Soil_Quality_Index,Irrigation_Type,Tech_Adoption,Export_Value_USD_million,Carbon_Footprint_tCO2e_per_ha,Extreme_Event,Subsidies_USD_per_ha
Australia,2023,10.1,1667.8,Rice,5.15,232.3,0.79,Flood,Low,1.07,9.39,None,32.0
Kenya,2023,15.8,1819.2,Wheat,4.63,185.9,0.57,Flood,Medium,1.07,7.84,None,188.6
South Africa,2010,11.6,1908.0,Barley,5.32,252.1,0.98,Drip,High,0.89,7.7,Drought,93.6
Germany,2010,22.6,1300.6,Barley,3.09,268.0,0.31,Drip,Medium,0.63,6.91,Drought,185.3
South Africa,2013,24.9,885.6,Barley,8.85,260.5,0.98,Rainfed,High,1.75,7.71,None,61.9
USA,2011,21.4,1613.3,Corn,3.67,178.6,0.44,Drip,High,0.54,5.41,None,126.7
Brazil,2015,29.2,536.7,Barley,3.97,156.4,0.53,Sprinkler,High,0.71,5.62,None,324.8
Brazil,2016,11.4,1756.5,Sorghum,7.64,299.9,0.87,Flood,Medium,1.17,12.76,Flood,475.1
Mexico,2014,32.2,1050.0,Sorghum,3.18,228.3,0.38,Flood,High,0.49,8.0,Flood,103.8
China,2010,26.5,493.3,Wheat,0.59,210.6,0.35,Rainfed,Low,0.13,3.61,Heatwave,309.0
India,2010,12.0,1144.1,Rice,1.31,295.6,0.59,Flood,Low,0.31,8.54,Heatwave,439.5
Mexico,2012,31.1,241.9,Sorghum,2.37,120.5,0.87,Sprinkler,Low,0.38,3.95,None,176.7
Kenya,2016,20.5,645.9,Sorghum,0.96,239.5,0.55,Flood,Medium,0.12,6.85,None,17.7
China,2014,25.7,1452.3,Corn,4.27,206.9,0.62,Rainfed,High,0.89,5.02,None,176.4
Brazil,2021,22.6,1442.7,Barley,2.43,249.9,0.33,Drip,Medium,0.4,6.21,PestOutbreak,464.4
Mexico,2011,17.6,1144.6,Barley,3.94,122.8,0.6,Sprinkler,Low,0.67,4.87,None,79.6
China,2022,32.7,648.7,Rice,1.76,238.9,0.59,Rainfed,Low,0.37,4.53,None,122.5
Kenya,2016,34.1,1735.4,Corn,4.3,146.3,0.51,Sprinkler,Low,0.72,5.58,None,115.8
USA,2016,34.1,874.8,Rice,1.95,267.1,0.5,Sprinkler,Medium,0.58,6.95,None,486.4
Brazil,2020,19.3,1597.5,Soy,4.21,282.7,0.54,Flood,Medium,1.23,10.09,Flood,389.5
Germany,2015,12.2,552.8,Rice,1.59,131.3,0.33,Drip,Low,0.36,3.42,Flood,77.8
Australia,2012,30.2,1813.0,Rice,1.55,77.5,0.52,Flood,Low,0.38,3.02,Flood,173.5
Australia,2016,15.7,1500.1,Barley,5.29,210.3,0.8,Rainfed,Medium,1.08,5.48,None,75.7
Mexico,2010,33.8,1802.5,Sorghum,2.05,205.0,0.62,Flood,Low,0.27,6.66,None,77.1
Australia,2024,23.8,1209.7,Wheat,2.37,150.9,0.91,Rainfed,Medium,0.42,3.36,Flood,127.9
Mexico,2010,14.5,822.2,Sorghum,7.06,168.5,0.93,Flood,High,0.92,8.97,None,17.8
Mexico,2023,12.1,1976.0,Wheat,3.8,142.7,0.56,Rainfed,Low,0.99,3.8,Storm,153.1
Canada,2016,17.1,266.4,Rice,2.09,175.7,0.73,Drip,High,0.48,4.56,Heatwave,55.5
Germany,2010,11.6,1981.9,Corn,1.84,252.5,0.53,Flood,Medium,0.36,7.76,Flood,123.2
Kenya,2018,24.4,1086.5,Wheat,1.9,230.6,0.44,Rainfed,High,0.34,4.45,None,43.7
China,2021,23.1,969.6,Wheat,0.71,77.0,0.32,Rainfed,High,0.16,1.52,None,278.9
Canada,2018,29.7,1097.2,Sorghum,2.98,184.3,0.36,Sprinkler,High,0.49,5.69,None,34.2
Mexico,2022,28.2,1956.5,Corn,6.87,130.7,0.66,Drip,High,1.12,6.05,None,24.9
China,2020,31.2,645.2,Sorghum,4.77,82.3,0.62,Flood,Low,0.75,5.24,None,352.3
India,2017,25.8,632.3,Barley,1.06,82.2,0.35,Flood,High,0.18,2.83,None,338.4
Kenya,2013,17.2,1263.5,Wheat,3.42,59.3,0.32,Drip,High,0.71,2.9,None,109.2
Australia,2023,13.6,1081.0,Wheat,6.97,110.5,0.99,Drip,Low,1.69,5.7,None,148.4
Kenya,2018,25.5,864.0,Soy,1.08,236.9,0.62,Flood,Low,0.29,6.86,Drought,180.1
Canada,2022,28.4,1646.3,Soy,3.83,94.4,0.5,Drip,Low,1.29,3.8,Storm,88.4
Brazil,2024,14.2,701.5,Corn,0.96,72.2,0.42,Flood,Low,0.17,2.5,None,213.9
India,2022,18.1,1543.7,Sorghum,6.76,262.3,0.75,Sprinkler,High,1.04,9.49,None,215.5
Mexico,2011,27.1,492.7,Corn,9.38,255.6,0.94,Rainfed,High,1.84,7.84,None,89.5
South Africa,2024,11.0,1263.6,Sorghum,3.72,54.1,0.77,Flood,Low,0.5,3.82,None,43.1
Brazil,2020,22.8,1157.8,Soy,1.89,161.9,0.38,Flood,Low,0.51,5.44,None,219.8
Mexico,2016,25.7,802.8,Sorghum,2.21,248.5,0.4,Flood,Low,0.34,7.9,PestOutbreak,159.8
Kenya,2018,33.4,1452.9,Corn,5.0,74.3,0.7,Rainfed,High,1.08,3.19,None,108.5
South Africa,2019,27.6,583.3,Wheat,1.96,53.6,0.4,Rainfed,High,0.45,1.64,None,93.1
Mexico,2016,13.1,1091.3,Corn,1.59,277.3,0.32,Sprinkler,High,0.3,6.98,None,108.8
Germany,2021,11.1,1804.1,Sorghum,1.59,298.2,0.67,Sprinkler,Low,0.24,7.43,Heatwave,109.4
Brazil,2020,33.3,1758.9,Corn,1.56,56.6,0.33,Sprinkler,Low,0.32,2.1,Storm,117.7
Kenya,2012,16.4,1388.0,Corn,5.59,188.8,0.87,Flood,High,0.9,8.54,None,180.5
Brazil,2024,13.8,761.1,Rice,1.26,236.0,0.47,Drip,High,0.32,5.35,Flood,444.5
Brazil,2015,20.0,1308.5,Wheat,4.54,61.3,0.74,Drip,High,1.05,3.5,None,435.4
Mexico,2017,31.4,1466.6,Wheat,3.55,74.5,0.63,Drip,Low,0.77,3.26,None,92.4
Kenya,2021,10.2,1119.3,Sorghum,1.75,105.5,0.59,Rainfed,High,0.25,2.39,Heatwave,71.4
Germany,2024,10.3,1043.6,Wheat,1.02,79.7,0.34,Drip,Medium,0.24,2.1,Drought,120.8
Kenya,2023,31.9,1533.4,Sorghum,3.64,225.6,0.79,Drip,Low,0.5,6.33,Flood,163.9
USA,2023,10.1,489.5,Wheat,6.09,223.0,0.68,Drip,High,1.19,7.5,Drought,156.8
India,2018,23.0,1465.4,Sorghum,5.12,292.9,0.55,Drip,Low,0.69,8.42,None,185.4
Kenya,2022,23.7,532.7,Wheat,11.63,243.8,0.98,Drip,High,2.96,10.69,None,185.2
China,2012,25.0,1474.5,Sorghum,2.79,292.5,0.31,Rainfed,High,0.37,5.8,None,132.5
Brazil,2011,29.2,588.5,Sorghum,1.63,71.3,0.74,Sprinkler,Low,0.25,2.47,None,336.8
China,2014,21.8,941.3,Corn,4.1,282.4,0.54,Rainfed,Medium,0.88,6.16,None,378.9
Kenya,2016,25.5,844.7,Corn,2.04,217.9,0.38,Flood,Medium,0.41,6.99,None,171.9
South Africa,2016,32.5,1339.6,Barley,4.43,137.3,0.54,Sprinkler,Medium,1.03,5.46,PestOutbreak,158.2
USA,2015,10.5,779.7,Corn,1.03,131.9,0.45,Flood,Low,0.21,4.1,None,355.6
Australia,2022,31.7,1843.8,Corn,5.74,175.4,0.66,Rainfed,High,1.1,5.1,Drought,161.2
South Africa,2013,14.5,1835.2,Rice,4.16,150.2,0.71,Rainfed,High,1.23,4.07,None,121.4
China,2012,26.1,351.5,Barley,2.68,274.6,0.41,Sprinkler,Low,0.43,7.52,None,348.6
USA,2011,17.1,853.5,Wheat,4.46,192.7,0.75,Drip,High,1.17,6.08,None,156.8
Brazil,2010,32.6,364.3,Soy,3.99,287.5,0.52,Flood,Low,1.23,10.07,None,251.8
Kenya,2010,18.6,1678.3,Wheat,1.17,261.6,0.38,Sprinkler,Medium,0.25,6.4,Flood,38.5
China,2013,17.3,791.6,Corn,6.14,238.1,0.77,Sprinkler,Low,1.23,8.62,None,272.5
Brazil,2024,13.7,1867.9,Corn,3.16,114.6,0.64,Flood,Medium,0.68,5.03,None,197.9
Mexico,2013,14.9,324.9,Rice,0.94,54.6,0.37,Sprinkler,Low,0.25,1.72,None,70.6
USA,2023,33.5,526.2,Soy,2.2,235.3,0.35,Drip,Low,0.75,5.81,None,407.9
Brazil,2016,33.2,1654.6,Rice,7.76,267.9,0.74,Sprinkler,High,1.7,10.16,PestOutbreak,292.7
USA,2020,19.8,1669.9,Corn,3.63,144.2,0.61,Sprinkler,Medium,0.6,5.17,Drought,276.2
Brazil,2017,25.5,382.0,Barley,0.71,225.2,0.36,Rainfed,Low,0.16,3.89,Drought,86.6
USA,2023,12.5,475.1,Rice,1.68,90.2,0.47,Drip,Medium,0.38,2.64,None,453.5
USA,2019,24.6,339.9,Soy,7.1,296.6,0.98,Drip,Low,2.16,9.48,None,416.2
India,2024,17.2,1246.2,Corn,2.44,170.3,0.41,Drip,Low,0.36,4.63,None,110.5
India,2016,19.4,350.3,Soy,4.29,189.6,0.84,Sprinkler,Low,1.5,6.53,None,271.7
Germany,2012,11.4,1189.2,Rice,2.77,271.9,0.61,Sprinkler,Low,0.59,7.51,None,154.7
Australia,2017,32.3,808.4,Wheat,3.24,73.5,0.56,Rainfed,Medium,0.58,2.47,None,113.1
Australia,2016,19.2,1338.2,Rice,1.54,183.9,0.74,Rainfed,Low,0.44,3.56,None,45.4
Brazil,2024,19.7,1357.9,Wheat,4.72,186.4,0.62,Flood,Low,0.99,7.91,Heatwave,457.4
Brazil,2010,19.4,1911.3,Sorghum,2.04,199.7,0.81,Flood,Low,0.26,6.52,None,439.8
Canada,2016,27.3,896.1,Sorghum,4.28,84.4,0.96,Sprinkler,Low,0.54,4.21,Heatwave,176.7
Canada,2018,31.6,1321.9,Wheat,2.24,65.9,0.53,Sprinkler,Low,0.46,2.68,Drought,131.1
Australia,2013,30.4,664.2,Sorghum,4.94,217.2,0.42,Drip,High,0.76,6.81,None,63.2
South Africa,2016,23.7,1486.3,Corn,9.14,120.0,0.76,Drip,High,1.8,6.97,None,126.2
Canada,2018,10.6,1932.8,Corn,4.81,224.0,0.89,Flood,High,0.75,8.95,None,57.5
Kenya,2019,11.5,698.4,Corn,2.32,237.1,0.86,Flood,Low,0.37,7.67,None,102.1
Brazil,2016,16.6,639.2,Soy,11.16,148.3,0.98,Sprinkler,High,3.52,9.4,Flood,276.2
Germany,2017,12.6,1824.6,Sorghum,3.03,256.6,0.65,Rainfed,High,0.53,5.32,None,12.1
Australia,2011,17.0,1176.9,Wheat,0.95,250.5,0.4,Sprinkler,Low,0.25,6.03,Flood,47.8
Mexico,2022,33.5,1917.1,Rice,1.5,142.5,0.94,Flood,Low,0.44,4.68,None,193.7
Canada,2015,15.0,494.6,Rice,2.87,253.6,0.41,Drip,Low,0.72,6.51,None,176.7
China,2018,32.6,826.9,Rice,3.55,245.9,0.66,Drip,Medium,0.93,6.69,PestOutbreak,477.3
