Date,Campaign,Channel,Region,CustomerSegment,MarketingSpend,Impressions,Clicks,Conversions,Revenue,EngagementRate,ConversionRate,ROI,CustomerSatisfaction,BounceRate,AvgSessionTime
2024-01-01,Summer Sale,Email,Oceania,VIP,1685.8,97824,14583,2475,159202.15,0.149,0.17,93.44,75,0.29,45.7
2024-01-02,Holiday Blast,Social Media,Oceania,New,3504.85,154369,22311,1207,293759.86,0.145,0.054,82.82,94,0.7,87.3
2024-01-03,Summer Sale,Influencer,South America,New,972.75,26591,1803,279,34882.79,0.068,0.155,34.86,61,0.37,195.2
2024-01-04,Summer Sale,Social Media,Europe,New,816.13,25859,2058,290,58794.23,0.08,0.141,71.04,95,0.32,168.8
2024-01-05,Holiday Blast,Affiliate,Oceania,Churn Risk,2491.93,54468,6832,574,25434.72,0.125,0.084,9.21,74,0.77,290.7
2024-01-06,Referral Program,Influencer,Asia,New,3620.18,116513,3327,621,78763.63,0.029,0.187,20.76,70,0.27,163.7
2024-01-07,Referral Program,SEO,Asia,Returning,469.96,26492,1567,285,28094.28,0.059,0.182,58.78,73,0.51,177.6
2024-01-08,New Launch,Email,North America,Churn Risk,983.96,57840,9096,2163,490702.54,0.157,0.238,497.7,66,0.56,278.9
2024-01-09,New Launch,SEO,Africa,VIP,627.42,17466,324,37,4273.83,0.019,0.114,5.81,62,0.36,253.8
2024-01-10,Referral Program,Influencer,North America,Churn Risk,1619.99,50604,5723,447,92298.05,0.113,0.078,55.97,65,0.24,296.5
2024-01-11,Clearance,SEO,Oceania,VIP,3157.31,88242,975,207,38400.28,0.011,0.212,11.16,96,0.64,238.2
2024-01-12,Holiday Blast,Affiliate,North America,New,573.97,19709,630,140,23397.58,0.032,0.222,39.76,74,0.4,47.2
2024-01-13,New Launch,Email,Europe,New,1595.7,52669,7827,1389,312784.47,0.149,0.177,195.02,84,0.48,62.3
2024-01-14,New Launch,PPC Ads,Oceania,VIP,3232.91,163040,19017,3883,538319.83,0.117,0.204,165.51,70,0.51,145.4
2024-01-15,New Launch,SEO,Europe,VIP,394.05,9581,153,27,2677.27,0.016,0.176,5.79,64,0.51,275.0
2024-01-16,Clearance,Affiliate,Europe,Returning,1222.38,44513,6835,654,30695.87,0.154,0.096,24.11,70,0.37,73.5
2024-01-17,Referral Program,PPC Ads,Asia,Returning,3739.88,195688,25507,5721,1183147.75,0.13,0.224,315.36,80,0.31,271.0
2024-01-18,Summer Sale,Social Media,North America,VIP,2295.57,120052,21640,2458,133251.68,0.18,0.114,57.05,85,0.34,145.3
2024-01-19,New Launch,Email,Europe,VIP,3326.65,181066,2049,311,37889.26,0.011,0.152,10.39,73,0.33,62.4
2024-01-20,Referral Program,PPC Ads,Oceania,Churn Risk,1704.09,98353,7023,1079,199252.64,0.071,0.154,115.93,69,0.42,292.4
2024-01-21,New Launch,Social Media,Europe,VIP,4247.16,127717,13343,1470,136217.42,0.104,0.11,31.07,97,0.22,194.6
2024-01-22,Referral Program,Influencer,South America,VIP,2159.91,47645,2998,694,57396.31,0.063,0.231,25.57,74,0.29,162.2
2024-01-23,Holiday Blast,Influencer,South America,New,3946.91,117153,16132,3263,268480.49,0.138,0.202,67.02,63,0.64,129.3
2024-01-24,Summer Sale,Social Media,Oceania,Returning,2639.53,119679,13379,910,194527.56,0.112,0.068,72.7,87,0.39,80.4
2024-01-25,Clearance,Email,South America,Churn Risk,450.87,19674,2729,145,20685.77,0.139,0.053,44.88,98,0.34,204.2
2024-01-26,Referral Program,Influencer,Asia,New,945.16,45025,3758,891,53686.86,0.083,0.237,55.8,67,0.4,60.6
2024-01-27,Clearance,SEO,Oceania,VIP,4093.5,225525,13307,2421,507898.89,0.059,0.182,123.07,67,0.53,173.0
2024-01-28,New Launch,PPC Ads,Europe,Churn Risk,1314.34,31181,5627,1294,219051.32,0.18,0.23,165.66,60,0.4,124.3
2024-01-29,New Launch,Influencer,Europe,New,2986.04,166873,29794,6136,1050771.36,0.179,0.206,350.89,100,0.25,73.6
2024-01-30,New Launch,Affiliate,Africa,Returning,3624.65,160416,1884,132,23228.09,0.012,0.07,5.41,69,0.2,73.4
2024-01-31,New Launch,Social Media,Africa,New,2330.32,111099,14873,1410,263217.99,0.134,0.095,111.95,98,0.34,117.9
2024-02-01,New Launch,PPC Ads,North America,New,3062.02,140807,24127,4379,678867.14,0.171,0.181,220.71,83,0.26,129.3
2024-02-02,New Launch,Social Media,North America,Returning,1281.25,38129,7430,955,216068.98,0.195,0.129,167.64,96,0.58,244.6
2024-02-03,Summer Sale,Email,Oceania,Churn Risk,2375.73,102337,10599,943,178169.92,0.104,0.089,74.0,64,0.37,36.6
2024-02-04,Clearance,Social Media,Europe,Churn Risk,2957.07,80090,15111,3638,841360.86,0.189,0.241,283.53,95,0.42,34.2
2024-02-05,Holiday Blast,SEO,Africa,Churn Risk,3734.78,138662,26853,6517,1418503.78,0.194,0.243,378.81,73,0.38,134.0
2024-02-06,Clearance,Affiliate,Oceania,Returning,3449.21,112709,4756,767,180976.76,0.042,0.161,51.47,79,0.62,183.9
2024-02-07,Referral Program,Affiliate,Oceania,VIP,659.55,29416,5827,454,65390.77,0.198,0.078,98.14,88,0.73,230.0
2024-02-08,Clearance,PPC Ads,North America,Returning,2878.96,138476,10843,1178,245094.04,0.078,0.109,84.13,74,0.69,264.1
2024-02-09,Summer Sale,SEO,North America,Returning,3678.99,148828,15669,3285,568278.93,0.105,0.21,153.47,97,0.62,244.9
2024-02-10,Holiday Blast,Email,North America,New,3952.32,132481,10778,741,116501.23,0.081,0.069,28.48,74,0.22,155.7
2024-02-11,Summer Sale,Email,Asia,New,2538.56,79867,9764,547,20904.48,0.122,0.056,7.23,92,0.69,127.3
2024-02-12,Holiday Blast,SEO,Oceania,Churn Risk,770.12,31489,4921,458,76502.44,0.156,0.093,98.34,73,0.25,44.0
2024-02-13,Clearance,Social Media,Oceania,Churn Risk,2266.01,94323,12366,2414,590675.52,0.131,0.195,259.67,75,0.51,117.2
2024-02-14,Referral Program,PPC Ads,Europe,New,3242.19,99967,9337,613,21808.8,0.093,0.066,5.73,66,0.78,255.7
2024-02-15,Referral Program,SEO,South America,Churn Risk,2875.1,104533,4487,364,30959.45,0.043,0.081,9.77,89,0.53,222.9
2024-02-16,Summer Sale,Affiliate,Oceania,New,2742.73,85565,16379,3236,491735.74,0.191,0.198,178.29,63,0.57,143.3
2024-02-17,Referral Program,Affiliate,Asia,New,1338.27,45820,7055,373,20714.92,0.154,0.053,14.48,75,0.23,41.0
2024-02-18,Holiday Blast,Social Media,Africa,Churn Risk,3811.72,183520,18369,1277,176424.56,0.1,0.07,45.28,68,0.48,76.8
2024-02-19,Referral Program,Social Media,Asia,Churn Risk,1905.25,68475,8697,1539,61509.03,0.127,0.177,31.28,75,0.42,199.0
2024-02-20,Summer Sale,PPC Ads,Africa,New,2161.6,117287,15851,1309,59592.39,0.135,0.083,26.57,63,0.59,37.2
2024-02-21,Clearance,Email,North America,Returning,2467.37,142143,16963,2165,371348.18,0.119,0.128,149.5,70,0.47,177.3
2024-02-22,Referral Program,PPC Ads,South America,Returning,3783.42,134099,25830,5968,436105.93,0.193,0.231,114.27,85,0.24,57.2
2024-02-23,Summer Sale,Social Media,South America,New,367.42,8736,1221,78,7813.62,0.14,0.064,20.27,84,0.71,36.3
2024-02-24,New Launch,PPC Ads,Asia,Churn Risk,3644.89,113990,3699,700,117857.2,0.032,0.189,31.33,95,0.73,228.5
2024-02-25,Referral Program,Social Media,Europe,VIP,3600.17,112618,4922,985,204391.09,0.044,0.2,55.77,73,0.79,141.4
2024-02-26,Summer Sale,Influencer,Oceania,New,1676.47,85594,6398,1510,330464.72,0.075,0.236,196.12,80,0.46,232.7
2024-02-27,Summer Sale,Email,Africa,Churn Risk,3091.81,74589,13536,2044,432961.39,0.181,0.151,139.03,92,0.39,271.8
2024-02-28,Clearance,Social Media,North America,New,1740.05,35555,6471,441,44209.81,0.182,0.068,24.41,71,0.77,286.7
2024-02-29,Summer Sale,Influencer,North America,Returning,2421.72,109639,10438,1134,116015.23,0.095,0.109,46.91,85,0.6,233.1
2024-03-01,Summer Sale,Influencer,Europe,New,3228.84,166558,4551,677,28882.8,0.027,0.149,7.95,99,0.53,149.2
2024-03-02,Summer Sale,PPC Ads,Oceania,VIP,3942.96,134204,4327,340,67161.0,0.032,0.079,16.03,76,0.57,57.3
2024-03-03,Holiday Blast,Affiliate,Oceania,VIP,672.31,32296,769,164,30401.22,0.024,0.213,44.22,75,0.25,52.9
2024-03-04,New Launch,PPC Ads,Europe,VIP,3950.57,138154,11110,2361,562849.86,0.08,0.213,141.47,89,0.79,233.4
2024-03-05,New Launch,Email,North America,Churn Risk,1692.16,39495,6226,1006,124068.82,0.158,0.162,72.32,99,0.74,60.0
2024-03-06,Clearance,Email,North America,Returning,2122.71,43418,4300,263,14764.8,0.099,0.061,5.96,92,0.27,205.3
2024-03-07,New Launch,Social Media,Asia,New,3060.37,132620,25570,3195,296677.03,0.193,0.125,95.94,75,0.72,90.4
2024-03-08,New Launch,SEO,Europe,Churn Risk,3863.92,79156,15378,901,203672.39,0.194,0.059,51.71,94,0.52,298.1
2024-03-09,New Launch,Influencer,Oceania,New,630.35,26571,5159,797,134268.76,0.194,0.154,212.01,95,0.62,152.7
2024-03-10,New Launch,Affiliate,North America,Returning,2884.16,125093,22669,1339,122936.14,0.181,0.059,41.62,76,0.77,270.4
2024-03-11,Summer Sale,Email,Oceania,Returning,1985.93,88980,5579,488,64422.66,0.063,0.087,31.44,77,0.41,187.6
2024-03-12,New Launch,Influencer,Europe,VIP,587.62,34655,6840,1297,191879.74,0.197,0.19,325.54,73,0.39,249.7
2024-03-13,New Launch,Influencer,South America,VIP,2833.51,75101,13749,2949,704681.19,0.183,0.214,247.7,63,0.64,195.6
2024-03-14,Summer Sale,Affiliate,South America,VIP,1847.5,105878,18481,1091,39058.6,0.175,0.059,20.14,62,0.43,248.8
2024-03-15,Summer Sale,SEO,Europe,VIP,3952.92,102841,12637,1594,387949.58,0.123,0.126,97.14,70,0.71,256.3
2024-03-16,Referral Program,Influencer,Oceania,Churn Risk,2237.58,81879,5072,310,68274.07,0.062,0.061,29.51,95,0.69,299.9
2024-03-17,Summer Sale,Email,North America,Returning,4386.31,185178,28907,6907,1498283.2,0.156,0.239,340.58,94,0.35,151.6
2024-03-18,Summer Sale,SEO,Africa,Returning,777.89,45243,5663,542,96353.59,0.125,0.096,122.87,87,0.57,126.7
2024-03-19,Holiday Blast,Email,Asia,VIP,720.16,33748,3673,750,108326.98,0.109,0.204,149.42,62,0.71,179.0
2024-03-20,New Launch,Social Media,Oceania,Returning,2375.47,130807,11335,870,31609.0,0.087,0.077,12.31,66,0.65,197.5
2024-03-21,New Launch,Influencer,South America,Returning,2905.1,82849,2975,157,16819.29,0.036,0.053,4.79,75,0.55,135.9
2024-03-22,Holiday Blast,Social Media,South America,New,1918.66,107764,8208,1254,253814.19,0.076,0.153,131.29,71,0.44,198.0
2024-03-23,New Launch,PPC Ads,Oceania,Returning,3839.82,222635,8447,1987,274733.72,0.038,0.235,70.55,77,0.35,154.0
2024-03-24,Holiday Blast,Affiliate,North America,Churn Risk,4318.73,171473,12425,2195,181816.32,0.072,0.177,41.1,62,0.25,64.8
2024-03-25,Referral Program,Social Media,Europe,Churn Risk,773.77,20176,733,130,9101.77,0.036,0.177,10.76,82,0.41,272.1
2024-03-26,New Launch,Social Media,Europe,New,2053.66,95910,4099,362,14114.78,0.043,0.088,5.87,72,0.3,105.2
2024-03-27,Referral Program,SEO,Asia,New,954.94,22487,740,105,7916.31,0.033,0.142,7.29,77,0.42,165.9
2024-03-28,New Launch,Affiliate,Africa,Churn Risk,2854.46,61577,9968,1750,83977.23,0.162,0.176,28.42,94,0.72,278.6
2024-03-29,New Launch,Email,North America,VIP,525.99,16345,2667,532,37556.34,0.163,0.199,70.4,71,0.33,130.0
2024-03-30,Clearance,SEO,North America,New,2302.01,102969,8247,1175,228471.24,0.08,0.142,98.25,98,0.22,98.2
2024-03-31,Referral Program,SEO,Oceania,VIP,3233.33,180446,19347,3026,162126.55,0.107,0.156,49.14,87,0.47,173.8
2024-04-01,Clearance,Influencer,North America,Churn Risk,1197.14,36835,3008,162,16338.9,0.082,0.054,12.65,96,0.33,118.4
2024-04-02,Holiday Blast,SEO,North America,Churn Risk,743.12,41333,5074,942,191807.85,0.123,0.186,257.11,60,0.5,53.5
2024-04-03,Clearance,Influencer,Oceania,Returning,2287.29,99436,15077,2055,119329.05,0.152,0.136,51.17,83,0.37,128.0
2024-04-04,Referral Program,Email,Oceania,VIP,2689.89,115211,8947,2212,361154.26,0.078,0.247,133.26,99,0.34,57.5
2024-04-05,New Launch,Affiliate,North America,VIP,865.58,25827,1046,91,8437.61,0.041,0.087,8.75,92,0.3,272.1
2024-04-06,New Launch,Affiliate,South America,VIP,656.55,26905,2366,583,31860.11,0.088,0.246,47.53,85,0.44,291.8
2024-04-07,New Launch,Influencer,Europe,Returning,3852.61,202966,11975,1008,178518.32,0.059,0.084,45.34,86,0.76,180.3
2024-04-08,Referral Program,Affiliate,Oceania,Returning,2414.97,75345,11769,1028,104043.3,0.156,0.087,42.08,99,0.46,167.1
2024-04-09,Clearance,SEO,South America,New,1196.92,29436,3709,399,62991.09,0.126,0.108,51.63,79,0.29,159.9
