Route,Origin,Destination,DepartureTime,ArrivalTime,Passengers,Distance_km,Delay_min,FuelUsed_Liters,Revenue_USD
Route E,New York,Los Angeles,2025-01-01 16:00:00,2025-01-01 19:00:00,136,80.72,0,11.89,1587.42
Route B,Boston,Seattle,2025-01-01 16:15:00,2025-01-02 01:00:00,200,317.87,15,23.42,2726.39
Route B,San Francisco,Chicago,2025-01-01 06:45:00,2025-01-01 10:00:00,24,836.44,10,42.44,732.72
Route C,Boston,Seattle,2025-01-01 12:00:00,2025-01-01 22:45:00,182,852.91,60,52.52,5555.71
Route C,Miami,Seattle,2025-01-01 21:30:00,2025-01-02 00:15:00,59,965.11,0,57.22,2323.32
Route D,New York,Seattle,2025-01-01 09:15:00,2025-01-01 18:30:00,146,790.55,15,113.24,2714.56
Route E,Miami,Boston,2025-01-01 09:45:00,2025-01-01 11:15:00,179,461.44,0,53.81,5368.78
Route A,Los Angeles,Houston,2025-01-01 11:15:00,2025-01-01 16:45:00,124,276.43,10,37.4,5414.76
Route B,San Francisco,Los Angeles,2025-01-01 06:45:00,2025-01-01 13:00:00,196,889.87,30,79.81,9534.23
Route D,Miami,Seattle,2025-01-01 11:45:00,2025-01-01 17:30:00,57,54.27,0,3.78,1077.33
Route C,New York,Miami,2025-01-01 20:00:00,2025-01-02 03:45:00,123,671.25,5,76.8,4348.68
Route C,Seattle,Boston,2025-01-01 10:00:00,2025-01-01 19:15:00,110,573.7,60,47.32,3639.63
Route B,San Francisco,Seattle,2025-01-01 06:00:00,2025-01-01 15:30:00,36,609.52,45,32.86,743.05
Route B,Miami,New York,2025-01-01 20:00:00,2025-01-02 02:15:00,119,166.06,0,21.03,5242.92
Route C,Los Angeles,San Francisco,2025-01-01 13:45:00,2025-01-01 20:30:00,140,87.79,60,10.09,6994.43
Route B,Seattle,Boston,2025-01-01 07:30:00,2025-01-01 15:45:00,90,785.92,30,92.71,4307.55
Route B,Chicago,Houston,2025-01-01 22:45:00,2025-01-02 08:30:00,138,417.83,0,39.83,6069.47
Route E,San Francisco,Miami,2025-01-01 17:30:00,2025-01-01 20:30:00,174,408.79,0,25.72,8391.27
Route D,San Francisco,Boston,2025-01-01 22:30:00,2025-01-02 02:45:00,125,252.95,60,16.08,4768.64
Route C,Miami,New York,2025-01-01 16:45:00,2025-01-01 19:30:00,187,861.79,0,119.88,5222.78
Route E,Miami,Chicago,2025-01-01 10:15:00,2025-01-01 20:30:00,101,439.51,0,38.45,1480.31
Route A,Seattle,Boston,2025-01-01 07:15:00,2025-01-01 12:45:00,22,430.96,45,43.51,1069.92
Route E,San Francisco,Houston,2025-01-01 16:45:00,2025-01-02 00:15:00,33,908.42,0,132.29,1032.75
Route B,New York,San Francisco,2025-01-01 17:00:00,2025-01-02 02:30:00,70,950.2,15,95.82,3165.9
Route A,Miami,Houston,2025-01-01 13:00:00,2025-01-01 22:30:00,146,661.67,0,98.78,4025.31
Route C,New York,Miami,2025-01-01 09:00:00,2025-01-01 13:30:00,103,882.54,5,62.99,3556.13
Route B,New York,Houston,2025-01-01 17:45:00,2025-01-01 23:30:00,103,987.51,5,146.08,4402.82
Route D,Houston,New York,2025-01-01 05:00:00,2025-01-01 14:00:00,125,820.43,15,93.48,2600.55
Route E,New York,Seattle,2025-01-01 21:00:00,2025-01-02 06:15:00,166,595.76,15,74.88,7461.67
Route D,Los Angeles,Miami,2025-01-01 08:45:00,2025-01-01 17:00:00,153,843.94,10,42.27,2494.67
Route D,New York,Los Angeles,2025-01-01 19:30:00,2025-01-01 22:00:00,106,605.18,5,84.29,1476.34
Route D,Chicago,New York,2025-01-01 22:15:00,2025-01-02 03:45:00,182,919.32,60,46.49,7721.08
Route B,Boston,Seattle,2025-01-01 06:45:00,2025-01-01 15:30:00,64,380.8,60,50.96,1038.62
Route A,Houston,San Francisco,2025-01-01 05:00:00,2025-01-01 13:00:00,63,74.39,0,7.44,1361.74
Route B,New York,San Francisco,2025-01-01 08:15:00,2025-01-01 13:15:00,59,636.64,60,36.06,1802.13
Route A,Boston,New York,2025-01-01 10:15:00,2025-01-01 18:15:00,183,220.52,60,27.25,3210.33
Route A,Chicago,Boston,2025-01-01 19:15:00,2025-01-02 03:15:00,93,959.63,45,70.39,1357.28
Route A,Seattle,Chicago,2025-01-01 18:15:00,2025-01-01 19:15:00,50,375.31,0,30.52,1043.12
Route E,Seattle,Miami,2025-01-01 06:15:00,2025-01-01 15:30:00,62,759.5,0,88.31,1548.38
Route D,Miami,New York,2025-01-01 13:00:00,2025-01-01 20:15:00,48,106.57,15,7.29,2046.02
Route D,Houston,New York,2025-01-01 09:45:00,2025-01-01 15:45:00,52,322.71,0,40.28,1548.34
Route D,Los Angeles,Boston,2025-01-01 17:15:00,2025-01-01 22:45:00,139,64.69,15,6.24,5600.7
Route D,Miami,Chicago,2025-01-01 19:30:00,2025-01-02 04:15:00,87,677.74,45,35.07,2895.52
Route A,Boston,Houston,2025-01-01 06:00:00,2025-01-01 09:15:00,132,490.04,0,35.39,2007.34
Route E,New York,Chicago,2025-01-01 15:30:00,2025-01-01 18:45:00,79,328.92,10,42.35,1395.54
Route A,Miami,New York,2025-01-01 06:00:00,2025-01-01 10:30:00,170,656.64,45,77.09,6872.68
Route D,Boston,Seattle,2025-01-01 17:45:00,2025-01-01 21:15:00,148,752.32,5,79.74,6799.14
Route B,Houston,Los Angeles,2025-01-01 06:45:00,2025-01-01 14:00:00,100,313.86,0,32.83,4777.25
Route D,Miami,Chicago,2025-01-01 07:15:00,2025-01-01 16:00:00,129,784.24,10,78.37,3957.13
Route B,San Francisco,Chicago,2025-01-01 08:15:00,2025-01-01 09:45:00,83,779.36,5,81.07,1526.41
Route A,Miami,Chicago,2025-01-01 21:15:00,2025-01-01 23:45:00,182,119.21,45,8.24,7383.04
Route A,Miami,Houston,2025-01-01 19:00:00,2025-01-01 23:45:00,194,367.27,60,53.25,2978.58
Route C,Boston,San Francisco,2025-01-01 09:45:00,2025-01-01 18:00:00,100,652.74,5,67.52,1482.5
Route D,San Francisco,Seattle,2025-01-01 14:45:00,2025-01-01 20:00:00,118,797.49,15,114.22,4567.52
Route D,Houston,Chicago,2025-01-01 12:30:00,2025-01-01 23:15:00,84,874.65,15,113.64,1300.5
Route B,Boston,New York,2025-01-01 17:45:00,2025-01-01 20:15:00,199,457.06,15,57.04,9085.58
Route A,Houston,Boston,2025-01-01 11:45:00,2025-01-01 12:45:00,136,90.08,0,5.61,4221.63
Route E,Los Angeles,San Francisco,2025-01-01 16:45:00,2025-01-02 01:15:00,190,154.55,0,15.08,7770.79
Route E,New York,Seattle,2025-01-01 19:00:00,2025-01-01 21:30:00,35,379.66,30,26.94,1253.59
Route C,Chicago,Los Angeles,2025-01-01 05:45:00,2025-01-01 10:45:00,23,580.08,0,63.77,1082.68
Route A,Chicago,San Francisco,2025-01-01 08:30:00,2025-01-01 14:30:00,104,442.72,60,63.89,2660.73
Route D,Houston,Chicago,2025-01-01 11:00:00,2025-01-01 12:30:00,48,371.04,10,34.07,1684.03
Route D,San Francisco,Miami,2025-01-01 17:30:00,2025-01-01 20:45:00,101,331.72,0,25.45,1795.38
Route B,Los Angeles,New York,2025-01-01 15:45:00,2025-01-01 16:45:00,200,556.32,30,34.41,4156.19
Route D,Los Angeles,Boston,2025-01-01 16:15:00,2025-01-02 02:00:00,155,336.76,0,41.3,3319.48
Route D,Los Angeles,Boston,2025-01-01 19:00:00,2025-01-02 02:15:00,81,873.6,60,55.61,944.07
Route E,Chicago,Miami,2025-01-01 21:45:00,2025-01-02 03:15:00,45,104.18,10,6.37,1807.77
Route C,Los Angeles,Houston,2025-01-01 09:30:00,2025-01-01 12:45:00,114,664.14,0,66.97,3361.89
Route B,Houston,Seattle,2025-01-01 12:45:00,2025-01-01 15:45:00,99,705.79,15,35.38,3069.48
Route D,Houston,Chicago,2025-01-01 13:00:00,2025-01-01 16:30:00,89,469.09,0,58.03,3699.43
Route C,New York,Boston,2025-01-01 12:45:00,2025-01-01 22:45:00,79,842.61,0,123.51,1614.03
Route A,Boston,Seattle,2025-01-01 09:00:00,2025-01-01 11:45:00,102,327.24,0,42.81,2314.06
Route D,Chicago,Houston,2025-01-01 18:15:00,2025-01-01 19:15:00,96,280.75,0,24.96,4419.63
Route B,Houston,Miami,2025-01-01 11:45:00,2025-01-01 20:00:00,90,948.72,30,122.92,2992.34
Route E,San Francisco,Miami,2025-01-01 19:00:00,2025-01-02 00:30:00,155,347.53,60,29.37,2131.09
Route E,Los Angeles,Seattle,2025-01-01 20:45:00,2025-01-02 06:00:00,60,187.92,45,24.96,1174.84
Route C,Los Angeles,Seattle,2025-01-01 19:15:00,2025-01-01 23:45:00,112,743.61,45,80.03,1905.42
Route C,San Francisco,Seattle,2025-01-01 05:45:00,2025-01-01 16:15:00,30,860.47,5,119.97,1027.48
Route B,New York,Houston,2025-01-01 12:15:00,2025-01-01 21:00:00,134,166.05,60,19.54,5786.61
Route D,New York,Los Angeles,2025-01-01 13:15:00,2025-01-01 15:30:00,114,809.8,10,60.42,3905.42
Route C,Houston,New York,2025-01-01 09:15:00,2025-01-01 12:45:00,183,283.4,0,35.68,4842.25
Route C,Boston,San Francisco,2025-01-01 19:15:00,2025-01-02 05:30:00,101,944.63,10,115.12,5008.55
Route B,Chicago,Miami,2025-01-01 10:00:00,2025-01-01 19:45:00,54,139.12,60,14.4,1765.1
Route B,Seattle,Boston,2025-01-01 17:30:00,2025-01-02 03:00:00,134,854.62,5,66.47,5234.36
Route A,New York,Los Angeles,2025-01-01 22:30:00,2025-01-02 03:30:00,24,902.76,45,86.23,534.06
Route C,Boston,San Francisco,2025-01-01 11:30:00,2025-01-01 18:15:00,134,368.9,0,36.74,5297.34
Route C,Seattle,Houston,2025-01-01 12:30:00,2025-01-01 21:00:00,199,554.91,15,71.79,9691.53
Route A,Houston,Miami,2025-01-01 06:15:00,2025-01-01 13:30:00,85,835.2,60,73.68,876.38
Route B,Los Angeles,Seattle,2025-01-01 12:15:00,2025-01-01 19:15:00,135,472.72,30,54.45,4002.45
Route C,Seattle,Miami,2025-01-01 22:15:00,2025-01-02 07:45:00,105,326.62,10,22.86,2975.94
Route B,Miami,New York,2025-01-01 06:15:00,2025-01-01 11:45:00,175,682.48,15,38.0,2134.57
Route A,Los Angeles,San Francisco,2025-01-01 10:15:00,2025-01-01 19:15:00,139,764.81,0,111.68,5888.81
Route B,Seattle,New York,2025-01-01 15:15:00,2025-01-01 19:00:00,153,794.9,30,113.71,3928.95
Route B,New York,Miami,2025-01-01 15:15:00,2025-01-01 22:30:00,179,764.25,45,42.38,6519.42
Route B,San Francisco,Houston,2025-01-01 21:45:00,2025-01-02 05:15:00,93,345.66,0,41.13,4381.33
Route A,Chicago,Houston,2025-01-01 16:15:00,2025-01-02 03:00:00,46,720.3,0,97.34,975.9
Route E,Los Angeles,Seattle,2025-01-01 13:00:00,2025-01-01 20:30:00,41,706.13,0,101.17,1234.89
Route E,Boston,San Francisco,2025-01-01 15:45:00,2025-01-01 21:15:00,154,638.78,45,43.58,4519.98
Route E,Seattle,Chicago,2025-01-01 12:45:00,2025-01-01 21:45:00,41,197.44,5,19.22,1240.88
Route C,Los Angeles,Boston,2025-01-01 08:00:00,2025-01-01 12:30:00,149,731.92,0,46.66,3509.5
Route D,Miami,San Francisco,2025-01-01 06:45:00,2025-01-01 16:45:00,186,551.53,60,48.46,7255.32
Route E,Los Angeles,San Francisco,2025-01-01 20:30:00,2025-01-01 21:30:00,20,230.1,10,14.59,519.1
Route B,Miami,Chicago,2025-01-01 16:45:00,2025-01-01 19:15:00,114,735.99,45,92.85,1819.49
Route B,San Francisco,Houston,2025-01-01 05:00:00,2025-01-01 15:30:00,139,719.82,10,57.36,2725.46
Route B,Chicago,San Francisco,2025-01-01 20:15:00,2025-01-01 22:15:00,113,119.59,60,11.54,3002.68
Route D,Seattle,Miami,2025-01-01 05:15:00,2025-01-01 08:30:00,187,505.0,60,70.18,4233.95
Route E,Seattle,Los Angeles,2025-01-01 19:45:00,2025-01-02 05:15:00,147,744.69,60,102.24,1985.85
Route E,Chicago,Seattle,2025-01-01 09:15:00,2025-01-01 14:15:00,185,876.37,45,47.97,6250.03
Route D,Miami,San Francisco,2025-01-01 07:30:00,2025-01-01 13:30:00,161,333.27,60,26.81,2476.91
Route C,Chicago,Boston,2025-01-01 11:45:00,2025-01-01 18:30:00,191,463.57,30,62.2,6430.59
Route B,Los Angeles,Boston,2025-01-01 07:30:00,2025-01-01 14:15:00,133,858.05,15,80.89,2396.61
Route D,Boston,Seattle,2025-01-01 07:30:00,2025-01-01 09:15:00,87,260.46,5,24.88,3390.12
Route A,Boston,San Francisco,2025-01-01 12:00:00,2025-01-01 20:00:00,132,689.97,30,50.24,5956.09
Route B,New York,Boston,2025-01-01 05:00:00,2025-01-01 15:45:00,28,323.88,45,45.25,991.03
Route D,Chicago,San Francisco,2025-01-01 07:30:00,2025-01-01 13:00:00,160,753.94,5,107.68,4771.41
Route A,Chicago,Boston,2025-01-01 16:00:00,2025-01-01 21:30:00,93,785.87,0,67.3,999.48
Route C,Boston,Houston,2025-01-01 19:00:00,2025-01-02 00:45:00,21,908.61,15,108.68,535.3
Route A,Chicago,Houston,2025-01-01 12:45:00,2025-01-01 16:15:00,21,858.96,10,62.34,861.81
Route E,Boston,Chicago,2025-01-01 05:45:00,2025-01-01 14:15:00,141,462.89,0,23.3,3098.49
Route A,Miami,Los Angeles,2025-01-01 13:15:00,2025-01-01 20:15:00,163,632.05,15,76.73,6041.2
Route A,Seattle,New York,2025-01-01 06:30:00,2025-01-01 11:30:00,119,302.36,0,42.76,1387.94
Route C,San Francisco,Chicago,2025-01-01 05:45:00,2025-01-01 16:00:00,47,783.61,0,66.32,1006.79
Route C,Los Angeles,Miami,2025-01-01 18:30:00,2025-01-02 02:00:00,186,665.85,45,97.59,5613.36
Route D,Los Angeles,Miami,2025-01-01 21:30:00,2025-01-02 04:00:00,66,587.26,0,85.6,1520.73
Route E,Miami,Seattle,2025-01-01 17:00:00,2025-01-01 18:45:00,116,969.66,15,136.27,3940.21
Route E,Seattle,Boston,2025-01-01 05:00:00,2025-01-01 08:45:00,83,350.13,5,31.5,3136.1
Route D,San Francisco,Miami,2025-01-01 08:30:00,2025-01-01 12:15:00,25,765.01,45,91.08,956.0
Route D,Miami,Los Angeles,2025-01-01 08:15:00,2025-01-01 15:45:00,86,525.4,60,76.95,3721.93
Route B,San Francisco,Chicago,2025-01-01 12:15:00,2025-01-01 17:00:00,143,475.3,30,65.72,2921.51
Route A,New York,Houston,2025-01-01 09:00:00,2025-01-01 17:15:00,38,715.95,30,61.07,751.12
Route C,San Francisco,Chicago,2025-01-01 13:45:00,2025-01-02 00:30:00,138,332.02,0,38.16,4226.27
Route A,New York,Los Angeles,2025-01-01 11:00:00,2025-01-01 20:00:00,37,820.97,0,63.58,624.99
Route C,San Francisco,Miami,2025-01-01 05:00:00,2025-01-01 15:00:00,99,379.67,15,21.39,3584.31
Route B,Los Angeles,Miami,2025-01-01 09:45:00,2025-01-01 14:45:00,36,80.41,5,8.13,816.07
Route C,Miami,Boston,2025-01-01 05:30:00,2025-01-01 15:45:00,122,407.9,45,55.13,4003.14
Route A,San Francisco,Houston,2025-01-01 14:45:00,2025-01-01 21:15:00,62,185.88,30,19.45,1161.65
Route B,Boston,Houston,2025-01-01 20:15:00,2025-01-01 22:45:00,153,402.33,0,27.12,1541.89
Route A,Houston,San Francisco,2025-01-01 15:00:00,2025-01-02 00:45:00,86,715.83,5,75.61,972.81
Route E,Boston,Miami,2025-01-01 11:45:00,2025-01-01 15:30:00,21,664.58,45,92.21,462.37
Route B,Boston,Houston,2025-01-01 14:15:00,2025-01-01 22:15:00,100,56.94,0,5.19,4214.61
Route B,Boston,Houston,2025-01-01 21:00:00,2025-01-02 02:15:00,181,180.09,0,25.83,6704.51
Route D,Houston,Chicago,2025-01-01 15:00:00,2025-01-01 18:30:00,120,863.5,5,60.42,1698.08
Route C,San Francisco,Boston,2025-01-01 08:15:00,2025-01-01 18:15:00,24,257.21,0,32.11,862.84
Route A,Chicago,San Francisco,2025-01-01 08:00:00,2025-01-01 12:30:00,134,980.06,10,60.13,3373.98
Route C,Chicago,Houston,2025-01-01 19:15:00,2025-01-01 22:15:00,141,556.67,60,79.25,4730.97
Route E,Miami,Boston,2025-01-01 14:00:00,2025-01-01 23:45:00,93,590.49,15,36.44,3930.71
Route A,New York,San Francisco,2025-01-01 16:30:00,2025-01-02 00:00:00,105,472.68,5,27.01,2629.95
Route C,Los Angeles,New York,2025-01-01 13:45:00,2025-01-01 20:15:00,35,732.46,0,104.03,427.87
Route A,Boston,Miami,2025-01-01 06:30:00,2025-01-01 12:00:00,77,995.6,0,83.87,1928.37
Route B,Miami,Los Angeles,2025-01-01 21:00:00,2025-01-02 00:00:00,112,109.69,45,9.82,4552.73
